,province_name,year,value
123,SumateraSelatan,2016.0,0.03290647435925067
124,Jambi,2016.0,0.033421926928508094
125,Riau,2016.0,0.03351297544178495
126,Bengkulu,2016.0,0.012664289182333572
127,Lampung,2016.0,0.008101267422873058
128,Aceh,2017.0,0.0087584733209313
129,SumateraUtara,2017.0,0.011284216057380399
130,SumateraBarat,2017.0,0.012875507377717864
131,SumateraSelatan,2017.0,0.01659054529671341
132,Jambi,2017.0,0.018939382743134222
133,Riau,2017.0,0.016896326571621156
134,Bengkulu,2017.0,0.014359772831687653
135,Lampung,2017.0,0.005901894501340398
